loan_id,segment_id,segment_name,current_balance,orig_balance,remaining_term_quarters,risk_rating,fico,ltv_ratio,dti_ratio,dscr,utilization_rate,payment_shock_index,delinquency_flag,collateral_buffer,region
RRB-00001,commercial_real_estate,Commercial Real Estate,1603169.51,1950235.73,20,5,656,0.7013,0.2656,1.6328,0.6624,0.1721,0,1.1493,Southeast
RRB-00002,commercial_real_estate,Commercial Real Estate,1500843.53,2091940.58,14,4,692,0.6343,0.4616,1.6195,0.4643,0.0377,1,1.1419,Mountain
RRB-00003,commercial_real_estate,Commercial Real Estate,500856.24,605040.59,10,7,748,0.5431,0.2765,1.3836,0.4805,0.1413,0,1.0088,Midwest
RRB-00004,commercial_real_estate,Commercial Real Estate,471730.7,527831.14,15,5,703,0.5945,0.2477,1.0529,0.4963,0.213,1,0.8738,Southeast
RRB-00005,commercial_real_estate,Commercial Real Estate,1524023.77,1810253.45,8,3,743,0.6163,0.2577,1.1392,0.5317,0.1003,0,1.04,Southeast
RRB-00006,commercial_real_estate,Commercial Real Estate,1914241.36,2668824.96,20,7,732,0.7069,0.4055,1.122,0.672,0.1574,0,0.9389,Midwest
RRB-00007,commercial_real_estate,Commercial Real Estate,643469.31,830156.7,12,4,740,0.6762,0.4672,1.5905,0.596,0.1842,0,1.1432,Midwest
RRB-00008,commercial_real_estate,Commercial Real Estate,675136.34,804306.52,18,4,673,0.6542,0.3108,0.9558,0.2689,0.2043,0,0.7788,Northeast
RRB-00009,commercial_real_estate,Commercial Real Estate,1647340.04,1870015.96,18,5,682,0.7713,0.4387,1.3304,0.4275,0.1375,0,0.7703,Southeast
RRB-00010,commercial_real_estate,Commercial Real Estate,1167864.36,1529574.19,9,6,678,0.7668,0.3481,1.5154,0.7071,0.236,0,0.8112,Midwest
RRB-00011,commercial_real_estate,Commercial Real Estate,1059682.76,1281911.1,18,5,688,0.6662,0.3755,1.2775,0.7662,0.0929,0,0.8926,Mountain
RRB-00012,commercial_real_estate,Commercial Real Estate,930838.22,1281523.46,9,7,665,0.7251,0.2425,1.4577,0.5053,0.1306,0,0.9408,Midwest
RRB-00013,commercial_real_estate,Commercial Real Estate,374514.82,417982.93,20,4,726,0.7852,0.3061,1.395,0.3585,0.0913,0,1.0971,Southeast
RRB-00014,commercial_real_estate,Commercial Real Estate,1136599.02,1613087.32,15,6,680,0.6387,0.3654,1.6123,0.4667,0.1494,0,0.9191,Northeast
