account_id,channel,fico_band,ltv_ratio,dti_ratio,payment_shock_index,verified_income_stability,manual_override_flag,self_employed_flag,zip_risk_band
DOC-00000,digital,subprime,0.6962,0.1947,0.0662,,0,0,low
DOC-00001,branch,subprime,0.6637,0.3305,0.4372,0.8236,0,0,moderate
DOC-00002,digital,near_prime,0.7082,0.5166,0.4843,0.5231,0,0,low
DOC-00003,call_center,prime,0.7704,0.2663,0.4474,0.3842,0,0,moderate
DOC-00004,digital,subprime,0.7701,0.5541,0.5273,0.6887,0,0,moderate
DOC-00005,branch,near_prime,0.7195,0.3563,0.4081,,0,0,elevated
DOC-00006,branch,subprime,0.971,0.3317,0.4441,0.927,0,0,low
DOC-00007,branch,near_prime,0.6443,0.4238,0.3937,,1,0,moderate
DOC-00008,digital,near_prime,0.8843,0.3123,0.2102,0.5323,0,1,elevated
DOC-00009,branch,near_prime,0.861,0.473,0.0556,0.4731,0,1,low
DOC-00010,call_center,subprime,0.6885,0.5704,0.2899,0.6655,0,0,low
DOC-00011,digital,near_prime,1.0008,0.05,0.2262,1.0,1,0,low
DOC-00012,digital,near_prime,0.9258,0.4796,0.1336,,0,0,moderate
DOC-00013,branch,prime,0.8167,0.091,0.1565,0.501,0,1,moderate
DOC-00014,call_center,near_prime,0.8327,0.1035,0.188,1.0,0,0,low
DOC-00015,branch,prime,0.7882,0.4495,0.2502,0.1835,1,0,elevated
DOC-00016,branch,subprime,0.8502,0.391,0.2313,1.0,0,0,low
DOC-00017,branch,subprime,0.7253,0.392,0.3355,0.4159,0,0,elevated
DOC-00018,branch,near_prime,0.9088,0.2273,0.1855,,0,0,low
DOC-00019,digital,near_prime,0.8928,0.268,0.6073,,1,0,low
DOC-00020,digital,prime,0.7397,0.3027,0.46,0.7401,1,0,moderate
DOC-00021,call_center,subprime,0.6166,0.1279,0.2073,0.5175,0,0,moderate
DOC-00022,digital,subprime,0.9077,0.4056,0.3084,,0,0,moderate
DOC-00023,call_center,prime,0.8023,0.3085,0.1621,,0,0,elevated
DOC-00024,digital,subprime,0.683,0.414,0.321,0.5137,0,0,elevated
DOC-00025,digital,near_prime,0.9421,0.05,0.7092,,0,0,elevated
DOC-00026,call_center,near_prime,0.8049,0.05,0.2476,,0,0,moderate
DOC-00027,branch,prime,0.6131,0.2617,0.1516,0.2448,0,0,moderate
DOC-00028,digital,prime,0.8858,0.3081,0.2897,0.4193,0,0,low
DOC-00029,digital,subprime,0.652,0.4059,0.3526,0.43,0,0,low
DOC-00030,digital,prime,0.5708,0.2718,0.4603,0.431,0,0,moderate
DOC-00031,digital,prime,0.6982,0.2331,0.1186,0.5906,0,0,moderate
DOC-00032,branch,prime,0.7566,0.2126,0.134,0.6196,0,1,low
DOC-00033,branch,subprime,0.5725,0.4584,0.3075,,0,0,elevated
DOC-00034,call_center,subprime,1.0404,0.354,0.1357,,0,0,elevated
DOC-00035,call_center,subprime,0.8119,0.5629,0.7848,0.4832,0,0,elevated
DOC-00036,digital,near_prime,0.8026,0.3285,0.0,0.2857,0,0,low
DOC-00037,digital,prime,0.7576,0.3905,0.1883,0.6236,0,1,elevated
DOC-00038,call_center,near_prime,0.8129,0.3252,0.1717,0.8387,0,0,low
DOC-00039,call_center,prime,0.6884,0.2992,0.1012,0.4992,0,1,elevated
DOC-00040,branch,prime,0.7488,0.384,0.3484,0.6713,1,0,low
DOC-00041,branch,near_prime,0.9087,0.1849,0.2156,,0,0,elevated
DOC-00042,branch,near_prime,0.7485,0.2743,0.2288,0.3533,0,0,moderate
DOC-00043,branch,near_prime,0.8047,0.3904,0.4485,,0,0,elevated
DOC-00044,digital,prime,0.7562,0.2406,0.3157,0.0989,0,0,low
DOC-00045,branch,prime,0.9915,0.0595,0.2487,,0,0,moderate
DOC-00046,digital,near_prime,0.9155,0.2653,0.1267,0.5859,0,0,low
DOC-00047,digital,near_prime,0.829,0.1887,0.4354,,0,0,moderate
DOC-00048,branch,near_prime,0.8672,0.391,0.0808,,0,0,low
DOC-00049,branch,near_prime,0.8216,0.172,0.4474,,1,0,moderate
DOC-00050,branch,prime,0.8166,0.2175,0.1492,1.0,0,1,moderate
DOC-00051,call_center,prime,1.0877,0.3466,0.631,,0,0,low
DOC-00052,branch,prime,0.5335,0.2786,0.291,0.8523,0,0,elevated
DOC-00053,call_center,subprime,0.7639,0.4091,0.2738,,0,1,moderate
DOC-00054,digital,subprime,0.787,0.3532,0.2271,0.5307,0,0,low
DOC-00055,call_center,prime,0.8887,0.309,0.2504,0.7704,0,0,moderate
DOC-00056,call_center,near_prime,0.6131,0.4167,0.394,0.8532,1,1,moderate
DOC-00057,call_center,prime,0.7093,0.376,0.1597,,0,0,moderate
DOC-00058,call_center,near_prime,0.8271,0.262,0.1558,0.796,0,1,moderate
DOC-00059,digital,near_prime,0.5671,0.4615,0.057,0.2113,0,0,low
DOC-00060,digital,near_prime,0.8432,0.3325,0.3416,,0,0,elevated
DOC-00061,digital,near_prime,1.0259,0.3942,0.0832,0.2796,0,0,moderate
DOC-00062,digital,subprime,0.6758,0.328,0.0911,0.5088,0,1,low
DOC-00063,call_center,prime,0.5528,0.3889,0.4854,0.5769,0,0,moderate
DOC-00064,branch,near_prime,0.8571,0.2592,0.0,,0,0,low
DOC-00065,digital,prime,0.7498,0.3929,0.0,0.7775,0,0,low
DOC-00066,digital,prime,1.0158,0.3613,0.1905,0.8018,0,0,moderate
DOC-00067,branch,near_prime,0.7362,0.3183,0.2552,,0,0,low
DOC-00068,call_center,prime,0.7094,0.3442,0.4183,0.8415,0,0,moderate
DOC-00069,branch,prime,0.9143,0.2984,0.3045,0.6738,0,1,moderate
DOC-00070,digital,near_prime,0.9265,0.4078,0.244,,0,0,moderate
DOC-00071,branch,prime,0.905,0.5402,0.3859,,0,0,elevated
DOC-00072,branch,subprime,1.0384,0.2373,0.0035,0.5614,0,0,low
DOC-00073,digital,near_prime,0.8488,0.3096,0.0418,0.3044,0,0,low
DOC-00074,call_center,near_prime,0.7881,0.1509,0.2452,1.0,1,0,low
DOC-00075,branch,subprime,0.7225,0.297,0.624,,0,0,low
DOC-00076,branch,near_prime,0.768,0.3375,0.1745,0.3329,0,1,low
DOC-00077,digital,prime,0.7302,0.3898,0.2235,0.2721,0,0,elevated
DOC-00078,digital,prime,0.7205,0.1765,0.1587,,0,0,elevated
DOC-00079,branch,subprime,0.6614,0.2475,0.0699,,0,0,low
DOC-00080,branch,subprime,0.5172,0.3413,0.0,,0,0,low
DOC-00081,call_center,subprime,0.8308,0.7163,0.3346,,0,0,moderate
DOC-00082,digital,subprime,0.8281,0.3592,0.2839,0.6155,0,0,moderate
DOC-00083,digital,prime,0.5919,0.3551,0.156,0.6324,0,0,moderate
DOC-00084,branch,near_prime,0.8799,0.2464,0.2446,,0,0,moderate
