application_id,channel,region,annual_income_k,requested_amount_k,bureau_score,dti_ratio,utilization_rate,delinquency_12m,inquiries_6m,employment_tenure_mo,recent_cash_buffer_mo,thin_file_flag,target_default,pd_estimate,score,decision,reason_1,reason_2,reason_3
APP-00000,branch,northeast,97.13,36.69,743,0.4777,0.7869,0,2,77.0,5.62,0,0,0.262315,706,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00001,direct,south,91.69,20.94,712,0.5175,0.793,0,0,61.5,3.45,1,0,0.305635,682,approve,HIGH_DTI,HIGH_UTILIZATION,THIN_CREDIT_FILE
APP-00002,broker,northeast,95.77,21.43,700,0.7325,0.7461,0,2,41.0,4.45,0,1,0.375048,644,review,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00003,branch,south,136.53,19.1,718,0.3011,0.5555,0,3,15.0,4.76,0,0,0.226189,726,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00004,direct,south,134.97,25.18,663,0.5461,0.533,0,1,45.1,7.71,0,0,0.340781,663,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00005,branch,midwest,76.15,10.69,784,0.2268,0.4559,2,3,41.8,0.27,1,1,0.473763,589,decline,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00006,branch,south,78.65,19.07,706,0.5945,0.4867,1,3,16.7,2.55,1,1,0.521355,563,decline,HIGH_DTI,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING
APP-00007,branch,west,74.54,9.09,700,0.5423,0.4133,0,2,66.2,5.11,0,0,0.264688,704,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00008,branch,northeast,105.9,20.1,659,0.5682,0.2429,0,4,55.0,7.3,0,0,0.396298,632,review,HIGH_DTI,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING
APP-00009,branch,northeast,88.02,19.16,685,0.3706,0.6887,1,1,2.0,1.81,1,0,0.503809,573,decline,HIGH_UTILIZATION,RECENT_DELINQUENCY,HIGH_DTI
APP-00010,branch,midwest,85.15,14.57,661,0.2543,0.4267,2,5,42.7,3.89,1,0,0.689687,471,decline,RECENT_DELINQUENCY,RECENT_CREDIT_SEEKING,LOW_BUREAU_SCORE
APP-00011,branch,south,141.34,11.21,643,0.4718,0.8222,0,1,103.7,3.85,0,0,0.419857,619,review,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00012,direct,south,73.75,16.83,691,0.5808,0.4738,0,6,73.3,6.11,0,1,0.423708,617,review,RECENT_CREDIT_SEEKING,HIGH_DTI,HIGH_UTILIZATION
APP-00013,branch,northeast,103.76,12.08,647,0.7054,0.3528,0,2,55.2,5.01,0,0,0.429365,614,review,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00014,direct,midwest,70.31,33.51,581,0.3071,0.1683,1,3,78.8,4.2,1,1,0.675632,478,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_DTI
APP-00015,direct,south,42.21,13.22,788,0.5313,0.6595,0,3,65.7,5.47,0,1,0.282875,694,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00016,branch,northeast,58.63,17.11,750,0.3302,0.7608,1,1,41.2,8.66,0,1,0.299073,686,approve,HIGH_UTILIZATION,RECENT_DELINQUENCY,HIGH_DTI
APP-00017,direct,midwest,109.83,16.5,722,0.3316,0.5869,2,0,39.7,3.04,0,1,0.358072,653,approve,RECENT_DELINQUENCY,HIGH_UTILIZATION,HIGH_DTI
APP-00018,branch,midwest,116.12,18.55,680,0.4429,0.2443,0,0,56.7,5.06,0,0,0.208872,735,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00019,broker,midwest,120.04,8.74,643,0.6207,0.4598,2,1,50.4,5.99,1,1,0.728518,449,decline,RECENT_DELINQUENCY,HIGH_DTI,LOW_BUREAU_SCORE
APP-00020,broker,northeast,99.65,15.57,665,0.6446,0.1697,0,0,68.5,5.39,0,1,0.277098,698,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00021,broker,midwest,85.39,15.15,662,0.2988,0.2245,0,3,57.8,3.9,0,0,0.277264,698,approve,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00022,direct,south,57.94,16.44,657,0.3718,0.4097,2,4,41.9,2.27,1,1,0.701758,464,decline,RECENT_DELINQUENCY,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING
