reason_slot,reason_code,share
reason_1,HIGH_DTI,0.3919
reason_1,LOW_BUREAU_SCORE,0.2506
reason_1,RECENT_DELINQUENCY,0.155
reason_1,HIGH_UTILIZATION,0.1412
reason_1,RECENT_CREDIT_SEEKING,0.0381
reason_1,THIN_CREDIT_FILE,0.0138
reason_2,HIGH_UTILIZATION,0.2787
reason_2,HIGH_DTI,0.2719
reason_2,LOW_BUREAU_SCORE,0.1531
reason_2,RECENT_DELINQUENCY,0.1256
reason_2,THIN_CREDIT_FILE,0.0706
reason_2,RECENT_CREDIT_SEEKING,0.07
reason_3,HIGH_UTILIZATION,0.265
reason_3,RECENT_CREDIT_SEEKING,0.1831
reason_3,HIGH_DTI,0.1594
reason_3,THIN_CREDIT_FILE,0.1125
reason_3,LOW_BUREAU_SCORE,0.1
reason_3,LOW_CASH_BUFFER,0.0838
