application_id,channel,region,annual_income_k,requested_amount_k,bureau_score,dti_ratio,utilization_rate,delinquency_12m,inquiries_6m,employment_tenure_mo,recent_cash_buffer_mo,thin_file_flag,target_default,pd_estimate,score,decision,reason_1,reason_2,reason_3
APP-00000,branch,northeast,24.0,18.14,702,0.6055,0.4479,0,1,33.7,3.67,1,0,0.487471,582,decline,HIGH_DTI,THIN_CREDIT_FILE,HIGH_UTILIZATION
APP-00001,branch,south,66.31,37.29,735,0.3327,0.7814,0,1,37.2,2.85,0,0,0.314268,677,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_CASH_BUFFER
APP-00002,broker,west,40.62,12.2,707,0.3617,0.3664,0,2,45.5,9.02,0,1,0.257558,708,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00003,branch,northeast,84.29,13.21,667,0.7199,0.6998,0,2,47.7,4.26,0,1,0.552437,546,decline,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00004,branch,northeast,86.02,26.09,781,0.504,0.7979,1,2,64.0,5.32,0,0,0.473502,590,decline,HIGH_DTI,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00005,branch,northeast,105.97,17.46,751,0.2525,0.4597,0,0,29.4,3.5,0,0,0.211044,734,approve,HIGH_UTILIZATION,HIGH_DTI,LOW_CASH_BUFFER
APP-00006,direct,south,94.8,14.77,639,0.8339,0.5753,0,1,29.3,2.33,1,1,0.748886,438,decline,HIGH_DTI,LOW_BUREAU_SCORE,THIN_CREDIT_FILE
APP-00007,branch,northeast,127.29,22.34,703,0.3948,0.7996,0,1,47.7,3.33,0,0,0.363824,650,review,HIGH_UTILIZATION,HIGH_DTI,LOW_CASH_BUFFER
APP-00008,branch,west,66.91,14.15,718,0.3662,0.5775,0,0,121.3,5.08,0,0,0.230427,723,approve,HIGH_DTI,HIGH_UTILIZATION,LOW_CASH_BUFFER
APP-00009,branch,west,90.5,11.31,636,0.7015,0.4199,1,6,46.9,3.99,1,1,0.870613,371,decline,HIGH_DTI,RECENT_CREDIT_SEEKING,LOW_BUREAU_SCORE
APP-00010,direct,midwest,152.65,18.36,707,0.3555,0.7972,2,0,42.7,4.9,1,1,0.649459,493,decline,RECENT_DELINQUENCY,HIGH_UTILIZATION,THIN_CREDIT_FILE
APP-00011,branch,south,131.37,4.82,710,0.2708,0.6715,0,4,40.0,2.83,0,0,0.396575,632,decline,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION,HIGH_DTI
APP-00012,direct,northeast,97.72,13.37,632,0.3669,0.8294,1,3,75.8,9.46,0,0,0.667323,483,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00013,broker,northeast,126.55,17.83,676,0.1781,0.6157,0,1,72.0,7.99,0,1,0.279443,696,approve,HIGH_UTILIZATION,LOW_BUREAU_SCORE,HIGH_DTI
APP-00014,branch,south,24.0,25.73,654,0.349,0.4661,1,4,19.7,0.38,1,1,0.798843,411,decline,LOW_BUREAU_SCORE,RECENT_CREDIT_SEEKING,RECENT_DELINQUENCY
APP-00015,direct,west,28.26,18.85,659,0.6205,0.6809,0,3,30.8,5.69,1,1,0.661013,486,decline,HIGH_DTI,LOW_BUREAU_SCORE,THIN_CREDIT_FILE
APP-00016,branch,south,136.25,28.23,745,0.756,0.6873,0,3,71.9,2.25,0,1,0.509896,570,decline,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00017,branch,west,65.75,15.36,760,0.3828,0.5785,0,1,66.9,3.82,0,0,0.278879,697,approve,HIGH_DTI,HIGH_UTILIZATION,LOW_CASH_BUFFER
APP-00018,branch,northeast,91.55,11.92,585,0.6023,0.8548,1,2,47.2,2.65,1,1,0.897018,357,decline,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00019,branch,west,55.24,14.01,737,0.6704,0.4855,1,1,66.8,6.23,0,1,0.421319,618,decline,HIGH_DTI,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00020,direct,south,83.84,31.29,752,0.5681,0.1846,0,0,8.3,5.85,0,0,0.23385,721,approve,HIGH_DTI,HIGH_UTILIZATION,SHORT_EMPLOYMENT_TENURE
APP-00021,branch,northeast,80.5,14.48,656,0.3647,0.608,0,2,43.5,4.18,0,1,0.449027,603,decline,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00022,branch,west,75.26,7.21,736,0.6487,0.3096,0,2,58.1,5.72,0,0,0.303858,683,approve,HIGH_DTI,RECENT_CREDIT_SEEKING,HIGH_UTILIZATION
APP-00023,direct,northeast,146.85,24.54,700,0.5641,0.8761,0,1,45.5,3.7,0,0,0.429357,614,decline,HIGH_DTI,HIGH_UTILIZATION,LOW_CASH_BUFFER
APP-00024,branch,south,135.52,23.49,631,0.5697,0.6869,1,2,56.8,2.74,0,1,0.735195,446,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00025,broker,midwest,64.14,11.97,742,0.3653,0.7401,2,3,54.8,4.49,1,1,0.713964,457,decline,RECENT_DELINQUENCY,HIGH_UTILIZATION,THIN_CREDIT_FILE
APP-00026,direct,west,80.53,19.97,628,0.3367,0.6783,1,0,69.1,4.97,0,0,0.564375,540,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_UTILIZATION
APP-00027,branch,west,91.36,17.11,687,0.6137,0.5678,0,0,41.8,5.5,0,0,0.350564,657,review,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00028,branch,west,132.31,17.49,698,0.6231,0.3129,0,1,85.3,2.03,0,1,0.389831,636,review,HIGH_DTI,LOW_CASH_BUFFER,HIGH_UTILIZATION
APP-00029,direct,west,118.09,17.43,608,0.3027,0.7145,0,1,50.7,8.67,0,1,0.492031,579,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,HIGH_DTI
APP-00030,branch,midwest,121.11,6.54,729,0.4697,0.6713,0,2,40.7,8.49,0,0,0.304779,682,approve,HIGH_DTI,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00031,broker,south,88.67,12.59,595,0.1525,0.674,0,2,2.0,5.24,0,1,0.565503,539,decline,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00032,broker,west,119.23,11.37,587,0.3838,0.1545,2,0,43.9,3.3,1,1,0.821796,398,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,THIN_CREDIT_FILE
APP-00033,branch,northeast,99.14,13.12,725,0.3471,0.4685,0,0,46.2,8.61,0,0,0.195715,742,approve,HIGH_DTI,HIGH_UTILIZATION,
APP-00034,branch,west,110.28,23.57,704,0.592,0.5934,0,1,38.2,6.94,1,1,0.452321,601,decline,HIGH_DTI,THIN_CREDIT_FILE,HIGH_UTILIZATION
APP-00035,direct,south,50.02,15.01,699,0.8241,0.8222,1,1,56.1,2.94,0,1,0.649121,493,decline,HIGH_DTI,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00036,branch,midwest,55.54,11.44,716,0.1566,0.1771,1,2,28.5,4.24,1,0,0.409225,625,decline,RECENT_DELINQUENCY,THIN_CREDIT_FILE,RECENT_CREDIT_SEEKING
APP-00037,branch,midwest,128.76,18.69,661,0.0692,0.6234,0,2,66.5,5.19,0,0,0.327092,670,review,LOW_BUREAU_SCORE,HIGH_UTILIZATION,RECENT_CREDIT_SEEKING
APP-00038,direct,west,118.19,23.77,631,0.4319,0.2209,0,1,47.4,7.84,0,0,0.388659,636,review,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00039,branch,west,105.01,24.51,574,0.6238,0.8918,1,0,33.3,1.54,1,1,0.895631,357,decline,LOW_BUREAU_SCORE,HIGH_DTI,HIGH_UTILIZATION
APP-00040,branch,west,99.46,15.47,656,0.0714,0.3336,0,2,20.1,0.2,0,0,0.401688,629,decline,LOW_BUREAU_SCORE,LOW_CASH_BUFFER,RECENT_CREDIT_SEEKING
APP-00041,direct,south,120.98,13.9,681,0.4467,0.2214,0,0,65.4,4.39,0,1,0.28327,694,approve,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00042,direct,south,43.16,13.68,666,0.6222,0.8514,0,1,46.5,3.18,0,0,0.540015,553,decline,HIGH_DTI,HIGH_UTILIZATION,LOW_BUREAU_SCORE
APP-00043,direct,west,95.27,19.93,743,0.7372,0.7165,1,1,52.5,4.69,0,1,0.514165,567,decline,HIGH_DTI,HIGH_UTILIZATION,RECENT_DELINQUENCY
APP-00044,broker,northeast,112.28,7.14,655,0.6413,0.6997,0,1,63.7,4.82,0,1,0.50927,570,decline,HIGH_DTI,LOW_BUREAU_SCORE,HIGH_UTILIZATION
APP-00045,direct,south,78.29,5.76,703,0.2762,0.6485,1,1,49.7,1.02,1,0,0.601909,519,decline,RECENT_DELINQUENCY,THIN_CREDIT_FILE,HIGH_UTILIZATION
APP-00046,broker,northeast,120.88,27.68,613,0.6188,0.6645,1,0,74.2,0.68,0,0,0.760334,432,decline,LOW_BUREAU_SCORE,HIGH_DTI,RECENT_DELINQUENCY
APP-00047,direct,west,121.79,9.46,645,0.2238,0.1245,1,2,71.4,5.47,0,1,0.443187,606,decline,LOW_BUREAU_SCORE,RECENT_DELINQUENCY,HIGH_DTI
APP-00048,branch,west,129.31,25.8,731,0.5346,0.5615,0,0,48.0,6.27,0,1,0.249781,713,approve,HIGH_DTI,HIGH_UTILIZATION,
APP-00049,broker,midwest,137.45,20.32,742,0.2311,0.4799,0,2,33.2,7.01,0,0,0.218073,730,approve,HIGH_UTILIZATION,HIGH_DTI,RECENT_CREDIT_SEEKING
APP-00050,direct,midwest,146.9,20.62,674,0.4999,0.7515,3,2,37.9,5.17,1,1,0.8674,373,decline,RECENT_DELINQUENCY,HIGH_DTI,HIGH_UTILIZATION
