account_id,channel,fico_band,ltv_ratio,dti_ratio,payment_shock_index,verified_income_stability,manual_override_flag,self_employed_flag,zip_risk_band
DOC-00000,digital,prime,0.7205,0.2978,0.2577,,0,0,moderate
DOC-00001,branch,near_prime,0.6614,0.3406,0.1477,0.4446,0,0,moderate
DOC-00002,digital,near_prime,0.5172,0.5467,0.4094,0.6159,1,0,moderate
DOC-00003,call_center,near_prime,0.8308,0.1279,0.1959,0.7195,0,0,moderate
DOC-00004,digital,prime,0.8281,0.2245,0.0945,0.9318,0,0,elevated
DOC-00005,branch,prime,0.5919,0.3831,0.0,0.4816,0,1,low
DOC-00006,branch,near_prime,0.8799,0.4151,0.4512,0.7616,1,1,moderate
DOC-00007,branch,near_prime,0.4678,0.2943,0.0489,0.847,0,0,low
DOC-00008,digital,near_prime,0.7249,0.333,0.4587,0.9232,0,0,low
DOC-00009,branch,near_prime,0.7974,0.3247,0.5427,0.7267,0,0,moderate
DOC-00010,call_center,prime,0.7407,0.4284,0.1753,0.6832,0,1,moderate
DOC-00011,digital,prime,0.8643,0.1465,0.0934,,0,0,moderate
DOC-00012,digital,prime,0.9179,0.3201,0.4959,,0,0,moderate
DOC-00013,branch,subprime,0.9167,0.5123,0.1277,1.0,1,0,moderate
DOC-00014,call_center,subprime,0.7948,0.4699,0.3038,0.4453,0,1,low
DOC-00015,branch,prime,0.9631,0.2551,0.0,0.7395,0,0,moderate
DOC-00016,branch,near_prime,0.7398,0.3939,0.0296,0.7457,0,0,moderate
DOC-00017,branch,prime,0.7194,0.1978,0.3131,,0,0,low
DOC-00018,branch,near_prime,0.7094,0.4034,0.4474,0.1196,0,0,elevated
DOC-00019,digital,near_prime,0.6997,0.3913,0.1417,0.613,0,0,moderate
DOC-00020,digital,near_prime,0.734,0.3406,0.4431,0.7136,1,0,low
DOC-00021,call_center,near_prime,0.6319,0.3838,0.4506,0.5179,0,0,elevated
DOC-00022,digital,subprime,0.5975,0.3097,0.281,,0,0,low
DOC-00023,call_center,prime,0.9555,0.4827,0.4321,0.5901,0,0,moderate
DOC-00024,digital,near_prime,0.8477,0.4543,0.0688,0.4531,0,0,elevated
DOC-00025,digital,prime,0.8919,0.4264,0.2925,0.6871,0,0,low
DOC-00026,call_center,prime,0.8208,0.4855,0.5406,,0,0,moderate
DOC-00027,branch,near_prime,0.6625,0.4905,0.0,,0,0,low
DOC-00028,digital,prime,0.9277,0.358,0.3463,0.4596,0,0,elevated
DOC-00029,digital,prime,0.865,0.4217,0.2997,0.8043,0,0,elevated
DOC-00030,digital,near_prime,0.645,0.3338,0.1174,,0,0,moderate
DOC-00031,digital,prime,0.8666,0.1194,0.0,0.781,0,0,elevated
DOC-00032,branch,subprime,0.5459,0.4958,0.009,,0,0,elevated
DOC-00033,branch,near_prime,0.8953,0.3217,0.0542,0.5933,0,0,moderate
DOC-00034,call_center,near_prime,0.685,0.3292,0.127,,0,0,elevated
DOC-00035,call_center,subprime,0.8963,0.6022,0.1935,,0,0,moderate
