account_id,channel,fico_band,ltv_ratio,dti_ratio,payment_shock_index,verified_income_stability,manual_override_flag,self_employed_flag,zip_risk_band
DOC-00000,branch,prime,0.6936,0.2939,0.0216,0.5154,0,0,low
DOC-00001,digital,near_prime,0.6637,0.2769,0.3439,0.548,0,0,moderate
DOC-00002,branch,prime,0.7915,0.1824,0.1913,,0,1,moderate
DOC-00003,digital,near_prime,0.8611,0.2899,0.4091,0.8094,0,0,moderate
DOC-00004,branch,near_prime,0.6544,0.1611,0.217,0.7251,0,0,moderate
DOC-00005,digital,near_prime,0.7477,0.2185,0.2912,0.9288,0,0,elevated
DOC-00006,digital,near_prime,0.5931,0.3922,0.5922,,0,0,low
DOC-00007,digital,prime,0.7742,0.2979,0.2398,0.5273,0,0,moderate
DOC-00008,digital,subprime,0.9969,0.313,0.3292,0.4829,0,0,moderate
DOC-00009,digital,subprime,0.8843,0.2762,0.353,,0,0,low
DOC-00010,branch,prime,0.7119,0.4078,0.4358,0.5989,0,0,elevated
DOC-00011,branch,near_prime,0.7779,0.441,0.2249,0.7283,0,0,low
DOC-00012,call_center,near_prime,0.7899,0.3438,0.2254,0.6684,0,0,elevated
DOC-00013,call_center,subprime,0.7842,0.4303,0.0383,,0,0,moderate
DOC-00014,branch,near_prime,0.8223,0.1013,0.1898,0.7621,0,0,moderate
DOC-00015,digital,near_prime,0.8903,0.4067,0.1633,,0,0,low
DOC-00016,digital,subprime,0.8278,0.3621,0.1445,0.5372,0,0,elevated
DOC-00017,digital,prime,0.7755,0.2749,0.246,,0,0,low
DOC-00018,branch,prime,0.8295,0.475,0.3402,,0,0,elevated
DOC-00019,digital,near_prime,0.7286,0.4443,0.0777,0.8219,0,1,low
DOC-00020,branch,near_prime,0.6955,0.2923,0.5062,0.636,0,0,low
DOC-00021,branch,prime,0.6117,0.306,0.4488,0.8411,0,0,moderate
DOC-00022,branch,prime,0.8457,0.3872,0.29,,0,0,moderate
DOC-00023,digital,prime,0.8156,0.2916,0.3947,,0,0,low
DOC-00024,digital,near_prime,0.8417,0.2661,0.0026,0.9664,0,0,low
DOC-00025,digital,prime,0.7349,0.1223,0.1917,,0,0,low
DOC-00026,call_center,near_prime,0.9007,0.4535,0.2272,,0,0,moderate
DOC-00027,digital,near_prime,0.8822,0.2423,0.2673,0.4595,1,0,low
DOC-00028,digital,near_prime,0.8091,0.2743,0.1383,,0,0,low
DOC-00029,branch,prime,0.8991,0.3894,0.2519,0.8858,0,1,low
DOC-00030,branch,near_prime,0.7774,0.3082,0.2386,0.684,0,0,low
DOC-00031,digital,near_prime,0.8676,0.4655,0.5098,0.5599,0,0,elevated
DOC-00032,call_center,near_prime,0.7002,0.3273,0.3557,0.8149,0,0,low
DOC-00033,digital,prime,0.8826,0.0972,0.2326,0.819,0,0,low
DOC-00034,digital,near_prime,0.6189,0.4648,0.2104,0.8684,0,0,moderate
DOC-00035,branch,near_prime,0.6832,0.3731,0.1641,0.0716,0,0,moderate
DOC-00036,digital,subprime,0.7844,0.338,0.2524,,0,0,low
DOC-00037,call_center,prime,0.9002,0.3769,0.1086,0.7123,0,0,moderate
DOC-00038,call_center,prime,0.7854,0.3116,0.2771,0.8716,0,0,moderate
DOC-00039,digital,near_prime,0.6576,0.4518,0.5138,0.7714,0,0,moderate
DOC-00040,call_center,subprime,0.8323,0.426,0.0931,0.4013,0,0,low
DOC-00041,call_center,subprime,0.513,0.3928,0.0,0.5806,0,1,low
DOC-00042,call_center,near_prime,0.7814,0.4043,0.4554,0.581,1,0,moderate
DOC-00043,branch,near_prime,0.7894,0.142,0.06,0.2828,0,0,elevated
